barcode,category,categoryCode,name,topBrand,brandCode,id_oid,cpg_ref,cpg_oid
511111400554,Personal Care,null,TONI&GUY,0,TONI&GUY,5a0219ede4b00d6a5ccb394e,Cogs,5332f5f6e4b03c9a25efd0b4
511111005377,Magazines,null,Modern Farmhouse Magazine,null,511111005377,5d66da306d5f3b6188d4f04c,Cogs,5d5d4fd16d5f3b23d1bc7905
511111905479,Magazines,null,Weight Watchers Special Edition Magazine ,null,511111905479,5d66dfe6a3a018093ab3472c,Cogs,5d5d4fd16d5f3b23d1bc7905
511111715559,Baking,BAKING,test brand @1597935986434,null,TEST BRANDCODE @1597935986434,5f3e9172be37ce5a0e01b955,Cogs,5f3e9172be37ce5a0e01b952
511111101017,Beer Wine Spirits,null,Mickey's,0,MICKEY'S,58b598dbe4b0857c2ddb7253,Cogs,5332f709e4b03c9a25efd0f1
511111302346,Beverages,null,Crystal Light,0,CRYSTAL LIGHT,57d95826e4b0ac389136a2b7,Cogs,559c2234e4b06aca36af13c6
511111000396,Beer Wine Spirits,null,Coors Extra Gold,null,COORS EXTRA GOLD,5a5d1bffe4b0db471c2d0423,Cogs,5332f709e4b03c9a25efd0f1
511111617853,Grocery,GROCERY,D'Italiano,0,D ITALIANO,5fb82fe3be37ce522e165cea,Cogs,5fb6b608be37ce522e165cb9
511111303015,null,null,DASANI,null,null,5332fa75e4b03c9a25efd221,Cpgs,5332f5ebe4b03c9a25efd0a8
511111716648,Baking,BAKING,test brand @1600291349042,null,TEST BRANDCODE @1600291349043,5f628215be37ce78e6e2efab,Cogs,5f628214be37ce78e6e2efaa
511111501619,Beverages,null,Pepsi Max,0,null,585a96cbe4b03e62d1ce0e88,Cogs,5332f5fbe4b03c9a25efd0ba
511111401155,Deli,null,Claussen,0,CLAUSSEN,5887a216e4b02187f85cdad5,Cogs,559c2234e4b06aca36af13c6
511111403845,Beer Wine Spirits,null,Blue Moon,0,BLUE MOON,5332f709e4b03c9a25efd0f2,Cogs,5332f709e4b03c9a25efd0f1
511111116752,Baking,BAKING,test brand @1601644365844,null,null,5f77274dbe37ce6b592e90c0,Cogs,5f77274dbe37ce6b592e90bf
511111706328,Breakfast & Cereal,null,Dippin Dots® Cereal,null,DIPPIN DOTS CEREAL,5dc1fca91dda2c0ad7da64ae,Cogs,53e10d6368abd3c7065097cc
511111416173,Candy & Sweets,CANDY_AND_SWEETS,test brand @1598639215217,null,TEST BRANDCODE @1598639215217,5f494c6e04db711dd8fe87e7,Cogs,5332fa12e4b03c9a25efd1e7
511111400608,Grocery,null,LIPTON TEA Leaves,0,LIPTON TEA Leaves,5a021611e4b00efe02b02a57,Cogs,5332f5f6e4b03c9a25efd0b4
511111019930,Baking,BAKING,test brand @1613158231643,0,TEST BRANDCODE @1613158231644,6026d757be37ce6369301468,Cogs,6026d757be37ce6369301467
